date,open,high,low,close,volume
2011-07-01,3052.12,3071.206,3034.072,3049.745,5676665300.0
2011-07-04,3064.935,3124.582,3064.935,3121.98,8046403100.0
2011-07-05,3122.899,3128.529,3105.086,3122.5,6776333500.0
2011-07-06,3116.121,3116.121,3084.834,3113.712,6155580700.0
2011-07-07,3123.29,3140.102,3101.096,3101.68,7181036000.0
2011-07-08,3105.486,3124.386,3093.374,3109.183,5128259300.0
2011-07-11,3097.874,3120.998,3086.263,3113.206,4792066000.0
2011-07-12,3089.136,3090.097,3054.8,3056.905,5710798400.0
2011-07-13,3060.42,3108.497,3060.42,3106.247,5411436700.0
2011-07-14,3112.587,3126.153,3092.473,3115.745,6031493500.0
2011-07-15,3105.497,3130.775,3097.336,3128.889,6155032200.0
2011-07-18,3131.803,3137.922,3113.667,3122.6,6069131100.0
2011-07-19,3108.472,3109.916,3088.377,3095.125,5338870900.0
2011-07-20,3113.705,3119.543,3071.85,3091.567,4411833100.0
2011-07-21,3092.271,3099.278,3058.255,3059.139,4408469100.0
2011-07-22,3066.192,3083.191,3059.598,3067.985,3725725500.0
2011-07-25,3050.897,3050.897,2958.878,2968.289,6718099600.0
2011-07-26,2965.721,2980.857,2957.61,2977.766,4351545700.0
2011-07-27,2961.576,3002.691,2951.516,3000.052,4838561200.0
2011-07-28,2973.642,2984.375,2956.71,2981.002,4813898400.0
2011-07-29,2981.021,2995.974,2948.076,2972.079,4629825300.0
2011-08-01,2969.106,2991.051,2958.832,2977.721,3388694900.0
2011-08-02,2958.85,2958.85,2919.014,2956.383,3897835700.0
2011-08-03,2930.193,2969.132,2927.096,2954.87,3866836200.0
2011-08-04,2962.913,2983.012,2951.838,2960.309,3298571900.0
2011-08-05,2881.737,2916.41,2868.157,2897.417,4931685400.0
2011-08-08,2864.514,2888.769,2747.967,2793.897,7151776600.0
2011-08-09,2720.953,2812.769,2697.062,2798.19,6984267600.0
2011-08-10,2845.352,2858.553,2820.123,2824.12,5865931200.0
2011-08-11,2779.715,2867.311,2777.761,2866.924,5899768900.0
2011-08-12,2881.554,2894.224,2868.871,2875.365,5719740600.0
2011-08-15,2883.174,2917.883,2870.19,2917.883,5987547600.0
2011-08-16,2920.829,2932.14,2888.334,2897.581,5096268100.0
2011-08-17,2893.849,2910.835,2881.631,2886.013,3917817900.0
2011-08-18,2887.103,2889.997,2832.269,2834.254,4076888300.0
2011-08-19,2789.346,2814.099,2782.556,2807.664,4325965000.0
2011-08-22,2809.329,2829.687,2768.418,2777.787,3420968500.0
2011-08-23,2788.699,2821.003,2777.287,2821.003,3262051400.0
2011-08-24,2834.577,2845.47,2804.818,2810.016,3530156500.0
2011-08-25,2818.701,2904.438,2815.912,2903.837,7221684500.0
2011-08-26,2889.382,2907.398,2876.828,2901.216,4560410200.0
2011-08-29,2875.784,2875.784,2847.476,2852.809,4426785000.0
2011-08-30,2875.144,2901.733,2838.33,2841.74,4313787200.0
2011-08-31,2843.993,2855.305,2823.77,2846.776,3210789900.0
2011-09-01,2852.386,2869.249,2825.956,2834.535,3011870200.0
2011-09-02,2828.839,2836.624,2790.769,2803.854,2931711600.0
2011-09-05,2780.834,2780.834,2743.383,2743.817,3200566000.0
2011-09-06,2727.749,2745.36,2711.071,2723.303,2971398200.0
2011-09-07,2738.789,2779.205,2730.055,2779.09,3326538100.0
2011-09-08,2788.832,2789.112,2755.799,2756.105,2683873500.0
2011-09-09,2770.153,2796.352,2739.62,2751.095,2707350300.0
2011-09-13,2712.443,2726.185,2698.66,2720.283,2671376400.0
2011-09-14,2729.256,2736.905,2677.127,2733.108,3042478000.0
2011-09-15,2734.552,2754.193,2728.905,2729.051,3117192500.0
2011-09-16,2744.218,2755.889,2728.995,2733.987,2755593200.0
2011-09-19,2718.318,2718.318,2678.795,2679.27,2909094100.0
2011-09-20,2675.043,2702.28,2664.1,2689.845,2559868100.0
2011-09-21,2691.701,2778.353,2677.349,2771.011,5619417100.0
2011-09-22,2745.146,2754.917,2684.94,2685.688,4710266000.0
2011-09-23,2644.294,2681.227,2631.425,2669.478,4259222400.0
2011-09-26,2645.245,2679.56,2603.108,2610.919,3917512400.0
2011-09-27,2634.925,2652.56,2613.423,2637.879,3502197400.0
2011-09-28,2654.83,2660.099,2602.63,2610.59,3416955500.0
2011-09-29,2593.559,2615.144,2577.286,2588.185,3709359300.0
2011-09-30,2595.582,2607.566,2572.193,2581.351,3205082200.0
2011-10-10,2588.349,2595.324,2552.284,2557.082,2832512200.0
2011-10-11,2625.163,2635.694,2526.649,2551.994,4502984800.0
2011-10-12,2537.398,2647.015,2523.344,2644.758,6594568000.0
2011-10-13,2636.863,2672.91,2629.405,2662.601,6042620100.0
2011-10-14,2655.358,2665.443,2629.879,2653.782,3833694800.0
2011-10-17,2658.947,2687.102,2653.384,2666.951,3615831500.0
2011-10-18,2646.841,2651.732,2589.205,2592.209,3937344800.0
2011-10-19,2599.917,2617.411,2580.663,2583.081,3111616600.0
2011-10-20,2566.603,2570.101,2500.486,2520.532,3984246200.0
2011-10-21,2522.257,2538.117,2504.693,2507.877,2984350300.0
2011-10-24,2517.059,2581.125,2501.956,2576.669,4634580100.0
2011-10-25,2572.708,2633.968,2560.047,2625.425,5796737500.0
2011-10-26,2613.272,2679.658,2611.012,2651.652,7309824000.0
2011-10-27,2658.428,2672.84,2647.296,2657.478,4882039100.0
2011-10-28,2694.542,2729.139,2689.376,2709.017,7164310500.0
2011-10-31,2704.535,2709.317,2680.992,2695.307,5040711200.0
2011-11-01,2672.508,2726.088,2669.05,2697.534,5520665100.0
2011-11-02,2658.547,2742.938,2653.722,2742.39,6436158400.0
2011-11-03,2752.627,2781.039,2743.196,2744.301,8482076000.0
2011-11-04,2770.572,2781.99,2748.978,2763.746,6195821800.0
2011-11-07,2750.991,2769.296,2733.168,2736.248,4537505600.0
2011-11-08,2745.059,2756.091,2723.693,2727.71,4788425200.0
2011-11-09,2739.154,2755.811,2710.054,2751.654,4687796000.0
2011-11-10,2720.836,2729.572,2698.306,2699.588,5117370200.0
2011-11-11,2705.243,2713.914,2685.101,2695.002,3663669600.0
2011-11-14,2717.544,2751.88,2714.862,2750.195,4639094300.0
2011-11-15,2746.773,2754.001,2732.913,2744.68,4175986400.0
2011-11-16,2745.858,2746.29,2659.148,2670.116,5594923900.0
2011-11-17,2671.953,2687.831,2660.651,2662.017,3524765200.0
2011-11-18,2643.667,2646.209,2601.179,2606.495,4241471800.0
2011-11-21,2608.556,2613.262,2587.742,2609.687,2797189600.0
2011-11-22,2592.229,2611.15,2580.781,2609.475,2906907800.0
2011-11-23,2613.291,2617.088,2578.157,2584.011,2853141200.0
2011-11-24,2565.686,2604.236,2557.695,2588.915,3031960100.0
2011-11-25,2585.137,2598.392,2563.65,2569.973,2391376600.0
2011-11-28,2578.344,2589.354,2562.493,2573.321,2566693600.0
2011-11-29,2595.086,2609.187,2580.293,2608.569,3002587800.0
2011-11-30,2600.099,2601.9,2507.184,2521.52,4235264500.0
